35.16,KABUPATEN MOJOKERTO
35.17,KABUPATEN JOMBANG
35.18,KABUPATEN NGANJUK
35.19,KABUPATEN MADIUN
35.20,KABUPATEN MAGETAN
35.21,KABUPATEN NGAWI
35.22,KABUPATEN BOJONEGORO
35.23,KABUPATEN TUBAN
35.24,KABUPATEN LAMONGAN
35.25,KABUPATEN GRESIK
35.26,KABUPATEN BANGKALAN
35.27,KABUPATEN SAMPANG
35.28,KABUPATEN PAMEKASAN
35.29,KABUPATEN SUMENEP
35.71,KOTA KEDIRI
35.72,KOTA BLITAR
35.73,KOTA MALANG
35.74,KOTA PROBOLINGGO
35.75,KOTA PASURUAN
35.76,KOTA MOJOKERTO
35.77,KOTA MADIUN
35.78,KOTA SURABAYA
35.79,KOTA BATU
36.01,KABUPATEN PANDEGLANG
36.02,KABUPATEN LEBAK
36.03,KABUPATEN TANGERANG
36.04,KABUPATEN SERANG
36.71,KOTA TANGERANG
36.72,KOTA CILEGON
36.73,KOTA SERANG
36.74,KOTA TANGERANG SELATAN
51.01,KABUPATEN JEMBRANA
51.02,KABUPATEN TABANAN
51.03,KABUPATEN BADUNG
51.04,KABUPATEN GIANYAR
51.05,KABUPATEN KLUNGKUNG
51.06,KABUPATEN BANGLI
51.07,KABUPATEN KARANGASEM
51.08,KABUPATEN BULELENG
51.71,KOTA DENPASAR
52.01,KABUPATEN LOMBOK BARAT
52.02,KABUPATEN LOMBOK TENGAH
52.03,KABUPATEN LOMBOK TIMUR
52.04,KABUPATEN SUMBAWA
52.05,KABUPATEN DOMPU
52.06,KABUPATEN BIMA
52.07,KABUPATEN SUMBAWA BARAT
52.08,KABUPATEN LOMBOK UTARA
52.71,KOTA MATARAM
52.72,KOTA BIMA
53.01,KABUPATEN KUPANG
53.02,KAB TIMOR TENGAH SELATAN
53.03,KABUPATEN TIMOR TENGAH UTARA
53.04,KABUPATEN BELU
53.05,KABUPATEN ALOR
53.06,KABUPATEN FLORES TIMUR
53.07,KABUPATEN SIKKA
53.08,KABUPATEN ENDE
53.09,KABUPATEN NGADA
53.10,KABUPATEN MANGGARAI
53.11,KABUPATEN SUMBA TIMUR
53.12,KABUPATEN SUMBA BARAT
53.13,KABUPATEN LEMBATA
53.14,KABUPATEN ROTE NDAO
53.15,KABUPATEN MANGGARAI BARAT
53.16,KABUPATEN NAGEKEO
53.17,KABUPATEN SUMBA TENGAH
53.18,KABUPATEN SUMBA BARAT DAYA
53.19,KABUPATEN MANGGARAI TIMUR
53.20,KABUPATEN SABU RAIJUA
53.21,KABUPATEN MALAKA
53.71,KOTA KUPANG
61.01,KABUPATEN SAMBAS
61.02,KABUPATEN MEMPAWAH
61.03,KABUPATEN SANGGAU
61.04,KABUPATEN KETAPANG
61.05,KABUPATEN SINTANG
61.06,KABUPATEN KAPUAS HULU
61.07,KABUPATEN BENGKAYANG
61.08,KABUPATEN LANDAK
61.09,KABUPATEN SEKADAU
61.10,KABUPATEN MELAWI
61.11,KABUPATEN KAYONG UTARA
61.12,KABUPATEN KUBU RAYA
61.71,KOTA PONTIANAK
61.72,KOTA SINGKAWANG
62.01,KABUPATEN KOTAWARINGIN BARAT
62.02,KABUPATEN KOTAWARINGIN TIMUR
62.03,KABUPATEN KAPUAS
62.04,KABUPATEN BARITO SELATAN
62.05,KABUPATEN BARITO UTARA
62.06,KABUPATEN KATINGAN
62.07,KABUPATEN SERUYAN
62.08,KABUPATEN SUKAMARA
62.09,KABUPATEN LAMANDAU
62.10,KABUPATEN GUNUNG MAS
62.11,KABUPATEN PULANG PISAU
62.12,KABUPATEN MURUNG RAYA
62.13,KABUPATEN BARITO TIMUR
62.71,KOTA PALANGKARAYA
63.01,KABUPATEN TANAH LAUT
63.02,KABUPATEN KOTABARU
63.03,KABUPATEN BANJAR
63.04,KABUPATEN BARITO KUALA
63.05,KABUPATEN TAPIN
63.06,KABUPATEN HULU SUNGAI SELATAN
63.07,KABUPATEN HULU SUNGAI TENGAH
63.08,KABUPATEN HULU SUNGAI UTARA
63.09,KABUPATEN TABALONG
63.10,KABUPATEN TANAH BUMBU
